NombreCentral;NombreChimenea;Periodo;Concentración(mg/Nm3);Azufre PPM;Mercurio PPM;Vanadio PPM;Niquel PPM;Cenizas PPM;Poder Calorífico Superior (MWh/t);Densidad de Combustible (Kg/m3)
ANGAMOS;ANGAMOS ;2023/4;0,0002;6066,66650390625;0,0533333346247673;30,290000915527344;9,21500015258789;129366,6640625;6,421000003814697;850,0
VENTANA II;VENTANAS II;2023/4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
CENTRAL TERMOELÉCTRICA COCHRANE;COCHRANE;2023/4;0,0002;0,6299999952316284;0,05400000140070915;25,700000762939453;30,299999237060547;11,9399995803833;5810,5;850,0
ANDINA;CTA;2023/4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ANDINA;CTH;2023/4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
MEJILLONES;CTM-7;2023/4;0,0002;6100,0;0,07000000029802322;21,25;8,210000038146973;83000,0;7065,0;1395,0
MEJILLONES;CTM1_2;2023/4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
BOCAMINA ;Chimena Unidad 2;2023/4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
BOCAMINA ;Chimena unidad 1;2023/4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
VENTANAS I;Ventanas 1;2023/4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
SANTA MARÍA I;Unidad I Complejo Santa María;2023/4;0,002;9400,0;0,14100000262260437;26,6200008392334;17,5;112200,0;6315,0;850,0
GUACOLDA;Chimenea Unidad N°1&2;2023/4;0,0001;9166,7001953125;0,07199999690055847;30,899999618530273;9,199999809265137;116866,703125;9262,7001953125;0,800000011920929
GUACOLDA;Chimenea Unidad N°3;2023/4;0,0006;8966,7001953125;0,04899999871850014;27,299999237060547;6,800000190734863;136783,296875;9446,400390625;0,800000011920929
GUACOLDA;Chimenea Unidad N°4;2023/4;0,0001;9166,7001953125;0,07199999690055847;30,899999618530273;9,199999809265137;116866,703125;9262,7001953125;0,800000011920929
GUACOLDA;Chimenea Unidad N°5;2023/4;0,0001;5680,0;0,07400000095367432;31,5;11,0;121260,0;9026,900390625;0,800000011920929
NORGENER;NT 01;2023/4;0,0002;6900,0;0,07999999821186066;0,0;0,0;223000,0;6,23799991607666;850,0
NORGENER;NT 02;2023/4;0,0002;7000,0;0,08030000329017639;35,189998626708984;10,885000228881836;115050,0;6,188000202178955;850,0
TARAPACA;CTTAR;2023/4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
VENTANAS III;Nueva Ventanas;2023/4;0,0;7300,0;0,05999999865889549;40,400001525878906;11,8100004196167;12300,0;7992,0;0,0
VENTANA IV (EX CENTRAL CAMPICHE);Central Campiche;2023/4;0,0;7700,0;0,07000000029802322;54,099998474121094;9,819999694824219;135800,0;7,827000141143799;0,0
